City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Moerai,-22.4333,-151.3333,74.5,63,31,5.37,PF,1620366058
Deputatsky,69.3,139.9,27.9,93,100,4.32,RU,1620366058
Suār,29.0333,79.05,93.81,29,88,12.97,IN,1620366058
Ambilobe,-13.2,49.05,81.75,76,13,2.33,MG,1620366059
Galich,58.3797,42.3475,48.42,72,97,8.25,RU,1620366059
Timiryazevskiy,56.49,84.8769,63.0,42,92,13.09,RU,1620366059
Chase,50.8165,-119.6857,62.6,45,96,6.91,CA,1620366060
Elizabeth City,36.2946,-76.2511,55.4,71,1,5.75,US,1620366060
Ugoofaaru,5.6667,73.0,84.47,67,29,2.66,MV,1620366061
Monywa,22.1167,95.1333,96.89,31,8,4.65,MM,1620366061
Kenai,60.5544,-151.2583,44.6,75,90,10.36,US,1620366062
Arrondissement de Sens,48.1667,3.3333,39.99,94,66,4.81,FR,1620366062
Acurenam,1.0322,10.6488,68.32,98,100,2.3,GQ,1620366062
Vila Velha,-20.3297,-40.2925,77.0,88,0,4.61,BR,1620365782
Havelock,34.8791,-76.9013,57.99,82,20,4.92,US,1620366063
Fortuna,40.5982,-124.1573,53.01,93,90,12.66,US,1620366063
Oistins,13.0667,-59.5333,78.8,65,75,13.8,BB,1620366063
Urucará,-2.5364,-57.76,74.08,93,90,2.17,BR,1620366064
Mahibadhoo,3.7833,72.9667,84.56,70,100,6.49,MV,1620366065
Ceres,37.5949,-120.9577,64.4,48,1,14.97,US,1620366065
Vitim,59.4511,112.5578,43.11,89,93,5.61,RU,1620366065
Dinar,38.065,30.1656,59.0,63,0,1.14,TR,1620366066
Kalga,50.9251,118.898,47.03,65,100,5.23,RU,1620366067
Gimli,50.6336,-96.9907,39.2,56,7,3.44,CA,1620366067
Esperance,-33.8667,121.9,62.6,88,75,10.36,AU,1620366067
Buin,-33.7333,-70.75,60.01,50,100,2.3,CL,1620366068
Castro,-24.7911,-50.0119,53.65,97,100,4.85,BR,1620366068
Prieska,-29.6641,22.7474,59.81,69,55,3.62,ZA,1620366068
Dicabisagan,17.0818,122.4157,87.3,65,73,7.18,PH,1620366069
Natal,-5.795,-35.2094,75.2,94,40,5.75,BR,1620366069
Bud,39.447,-86.1758,43.0,93,64,9.1,US,1620366069
Biloela,-24.4167,150.5,78.35,33,3,6.67,AU,1620366070
Bintulu,3.1667,113.0333,80.6,89,40,2.3,MY,1620366070
Torrox,36.7579,-3.9523,64.0,77,1,3.96,ES,1620366071
Lüderitz,-26.6481,15.1594,58.39,72,0,12.08,NA,1620366071
Erzin,36.9559,36.2,69.01,90,3,5.23,TR,1620366071
Elko,41.0002,-115.5012,63.0,27,1,3.44,US,1620366072
Alofi,-19.0595,-169.9187,77.0,88,59,9.22,NU,1620366072
Camaçari,-12.6975,-38.3242,75.2,88,40,1.48,BR,1620366072
Riyadh,24.6877,46.7219,91.4,11,0,3.44,SA,1620365826
Cabedelo,-6.9811,-34.8339,73.4,94,20,4.61,BR,1620366003
Tigil',57.8,158.6667,47.19,33,95,2.51,RU,1620366073
Arshan',46.2732,44.22,59.0,51,83,15.66,RU,1620366073
Margate,51.3813,1.3862,43.0,76,14,4.0,GB,1620366074
Erenhot,43.6475,111.9767,69.03,14,66,32.26,CN,1620366074
Ilhabela,-23.7781,-45.3581,71.02,91,50,8.08,BR,1620366074
Praia da Vitória,38.7333,-27.0667,64.4,88,40,19.42,PT,1620366074
Hinton,53.4001,-117.5857,42.8,70,95,3.44,CA,1620365924
Tétouan,35.5711,-5.3724,55.4,94,0,4.61,MA,1620366075
Toora-Khem,52.4675,96.11,65.77,37,99,0.31,RU,1620366075
Haines Junction,60.7522,-137.5108,46.4,57,100,3.44,CA,1620366076
Neuquén,-38.9516,-68.0591,41.0,93,0,3.44,AR,1620366006
Saryozek,44.3583,77.9753,70.92,49,92,9.19,KZ,1620366076
Labuan,5.2767,115.2417,86.0,74,40,3.44,MY,1620366077
Asău,46.4333,26.4,48.99,51,99,4.25,RO,1620366077
Antropovo,58.3988,43.0066,49.8,67,100,7.72,RU,1620366077
Griviţa,44.7333,27.2833,61.0,42,100,1.99,RO,1620366078
Comodoro Rivadavia,-45.8667,-67.5,37.4,87,0,8.95,AR,1620366078
Batagay-Alyta,67.8006,130.4114,31.8,92,99,2.55,RU,1620366078
Kyra,49.5776,111.9753,45.7,37,97,20.69,RU,1620366079
La Ronge,55.1001,-105.2842,32.0,59,3,3.44,CA,1620366079
Farafangana,-22.8167,47.8333,72.64,76,33,10.09,MG,1620366079
Sur,22.5667,59.5289,93.56,39,56,5.03,OM,1620366080
Mapiripán,2.8892,-72.1256,72.95,95,100,1.66,CO,1620366080
Dwārka,22.2394,68.9678,87.82,57,10,10.36,IN,1620366080
Valdemārpils,57.3707,22.5919,41.0,100,90,6.91,LV,1620366081
Petropavlovka,50.6114,105.3196,52.99,33,94,12.77,RU,1620366082
Marsabit,2.3284,37.9899,69.35,68,93,10.54,KE,1620366082
Carauari,-4.8828,-66.8958,71.85,98,82,1.97,BR,1620366082
Elmadağ,39.9208,33.2308,60.01,71,0,2.3,TR,1620365822
Khovd,48.0056,91.6419,72.68,12,28,7.85,MN,1620366083
Orán,-23.1322,-64.326,50.0,98,43,1.79,AR,1620365902
Villa Bruzual,9.3328,-69.1208,73.11,86,74,4.23,VE,1620366083
Iquique,-20.2208,-70.1431,64.4,68,90,6.91,CL,1620366084
Bambanglipuro,-7.95,110.2833,85.46,69,95,13.38,ID,1620366085
Ginir,7.1333,40.7,59.94,90,100,3.87,ET,1620366086
Van,38.4924,43.3831,57.2,72,75,4.61,TR,1620365975
Planaltina,-15.4528,-47.6142,62.6,88,40,3.44,BR,1620366086
Dronfield,53.3022,-1.4751,41.0,88,32,10.0,GB,1620366087
Kodīnar,20.7903,70.7031,93.67,39,1,6.64,IN,1620366087
Aripuanã,-9.1667,-60.6333,69.3,81,86,2.93,BR,1620366088
Beyneu,45.3167,55.2,56.16,69,100,2.13,KZ,1620366088
Velenje,46.3592,15.1103,48.99,97,100,2.48,SI,1620366088
Casablanca,33.5928,-7.6192,60.8,88,75,5.75,MA,1620366010
Coyhaique,-45.5752,-72.0662,28.4,93,90,1.14,CL,1620366089
Halifax,44.6453,-63.5724,39.99,87,86,2.3,CA,1620365850
Korla,41.7597,86.1469,85.53,8,71,10.27,CN,1620366089
San Miguel de Tucumán,-26.8241,-65.2226,51.8,82,0,3.13,AR,1620365954
Malinovoye Ozero,51.6753,79.7825,66.04,32,100,10.16,RU,1620366090
Henties Bay,-22.116,14.2845,57.99,93,0,7.99,NA,1620366090
Nyahururu,0.0421,36.3673,61.88,69,99,2.1,KE,1620366091
Torbay,47.6666,-52.7314,36.0,100,90,6.91,CA,1620366091
Ponta do Sol,32.6667,-17.1,59.0,58,80,3.0,PT,1620366091
Longkou,37.6508,120.3286,59.81,52,0,19.08,CN,1620366092
Mayumba,-3.432,10.6554,76.23,84,91,4.79,GA,1620366092
Kamaishi,39.2667,141.8833,71.6,37,0,21.85,JP,1620365826
Salalah,17.0151,54.0924,87.8,70,40,6.91,OM,1620366093
Keflavik,64.0049,-22.5624,32.0,74,0,5.75,IS,1620366093
Khorixas,-20.3667,14.9667,68.59,56,14,3.85,NA,1620366093
Noumea,-22.2763,166.4572,81.0,69,0,4.61,NC,1620366094
Kuusamo,65.9667,29.1833,24.8,93,90,13.8,FI,1620366094
Zeya,53.75,127.2667,46.6,57,100,4.59,RU,1620366094
Donji Vakuf,44.1436,17.4,39.99,93,92,10.0,BA,1620366095
Oranjemund,-28.55,16.4333,57.47,91,44,4.14,NA,1620366096
Bagdarin,54.4333,113.6,47.62,40,99,9.91,RU,1620366096
‘Āhuimanu,21.4447,-157.8378,77.0,88,20,5.75,US,1620366096
Gberia Fotombu,9.8833,-11.1667,70.99,76,62,4.63,SL,1620366097
Seydi,39.4816,62.9137,81.77,23,86,5.86,TM,1620366097
North Platte,41.1239,-100.7654,54.0,66,1,3.44,US,1620366097
Winsum,53.33,6.5208,41.0,93,88,1.99,NL,1620366098
Kāvali,14.9167,79.9833,95.18,47,25,14.88,IN,1620366098
Victor Harbor,-35.5667,138.6167,71.01,60,81,1.01,AU,1620366098
Igrim,63.1906,64.4162,45.21,44,35,14.54,RU,1620366099
Talara,-4.5772,-81.2719,70.92,77,49,12.88,PE,1620366100
El Paso,31.8001,-106.2005,80.6,22,20,13.8,US,1620365836
Itarema,-2.9248,-39.9167,75.45,85,74,3.69,BR,1620366100
Kuala Terengganu,5.3302,103.1408,87.8,74,40,3.44,MY,1620366102
Xining,36.6167,101.7667,66.0,33,1,6.71,CN,1620366102
Algeciras,36.1333,-5.4505,62.6,88,0,1.34,ES,1620366103
Kortkeros,61.8106,51.5806,50.0,66,20,4.47,RU,1620366103
Kushmurun,52.4503,64.6311,59.54,30,5,7.65,KZ,1620366103
Samoded,63.6083,40.5111,46.08,76,96,11.99,RU,1620366105
Olinda,-8.0089,-34.8553,73.4,88,75,6.91,BR,1620366105
Pervomayskoye,43.919,46.7102,61.93,51,100,11.07,RU,1620366107
Kontagora,10.3999,5.4695,77.7,75,100,4.74,NG,1620366107
Sibolga,1.7427,98.7792,87.35,64,100,4.38,ID,1620366108
Husavik,66.0449,-17.3389,30.2,93,90,4.61,IS,1620366108
Yaan,7.3833,8.5667,75.22,88,100,5.57,NG,1620366110
Darovskoy,58.77,47.9564,58.08,69,83,10.65,RU,1620366110
Karatau,43.1667,70.4667,75.31,38,95,2.13,KZ,1620366112
Katsuura,35.1333,140.3,66.99,76,100,4.23,JP,1620366112
Mahanje,-9.9333,35.3333,65.91,78,82,3.94,TZ,1620366113
Bossier City,32.516,-93.7321,64.4,77,1,5.28,US,1620365992
Gairo,39.8497,9.5047,60.8,82,0,6.91,IT,1620366114
Kharan,28.5833,65.4167,89.01,16,0,6.31,PK,1620366116
Oussouye,12.485,-16.5469,71.15,78,100,4.18,SN,1620366116
Hearst,49.6835,-83.6665,30.2,80,81,4.61,CA,1620366117
San Vicente,-26.6167,-54.1333,39.96,98,9,3.04,AR,1620366117
Sisophon,13.5859,102.9737,92.21,47,87,3.87,KH,1620366119
Cap Malheureux,-19.9842,57.6142,82.99,71,1,3.0,MU,1620366119
Vostok,46.4856,135.8833,69.44,27,56,7.74,RU,1620366121
Acapulco de Juárez,16.8634,-99.8901,79.97,74,53,3.18,MX,1620366122
Tsagan Aman,47.5639,46.7218,63.0,63,97,1.01,RU,1620366122
Churapcha,62.0025,132.4325,49.59,53,99,4.63,RU,1620366123
Upata,8.0086,-62.3989,71.44,93,100,5.26,VE,1620366123
Río Gallegos,-51.6226,-69.2181,39.2,87,0,3.44,AR,1620366123
Pedernales,18.0384,-71.744,77.47,67,3,6.49,DO,1620366124
Port Hardy,50.6996,-127.4199,46.4,93,75,3.44,CA,1620366000
Mabaruma,8.2,-59.7833,71.78,99,80,2.08,GY,1620366124
Verkhotur'ye,58.8627,60.8054,59.27,51,61,10.22,RU,1620366125
Alamosa,37.4695,-105.87,51.8,22,1,4.61,US,1620366125
Krasnosel'kup,65.7,82.4667,34.36,100,83,10.96,RU,1620366125
Turukhansk,65.8167,87.9833,34.95,98,100,14.36,RU,1620366125
Shakawe,-18.3667,21.85,63.43,50,7,5.48,BW,1620366126
Hjelset,62.7833,7.4833,39.2,56,0,3.44,NO,1620366126
Saraland,30.8207,-88.0706,61.0,72,1,3.44,US,1620366126
College,64.8569,-147.8028,53.6,47,75,12.66,US,1620366127
Cascais,38.6979,-9.4215,59.0,89,2,10.45,PT,1620366127
Charlestown,-32.95,151.6667,70.0,90,57,1.99,AU,1620366127
Kidal,18.4411,1.4078,85.86,13,43,10.4,ML,1620366128
Monrovia,6.3005,-10.7969,75.2,94,40,6.91,LR,1620366128
Yazoo City,32.8551,-90.4056,62.01,100,1,6.89,US,1620366129
Solnechnyy,50.7214,136.6319,40.96,67,94,7.9,RU,1620366129
Tshikapa,-6.4167,20.8,70.52,96,100,3.4,CD,1620366129
Aitape,-3.1374,142.3475,84.42,79,39,7.58,PG,1620366129
Visby,57.6409,18.296,39.99,81,90,10.36,SE,1620366130
Port Macquarie,-31.4333,152.9167,69.01,90,41,1.99,AU,1620366130
Nongpoh,25.9,91.8833,69.8,88,90,5.75,IN,1620366130
Berbérati,4.2612,15.7922,71.6,94,100,3.06,CF,1620366131
Bull Savanna,17.8868,-77.5902,73.89,86,19,7.14,JM,1620366131
